epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2143.15,0.54623,0.59981,1.10734,0.8687,0.83519,0.88345,0.78716,0.5359,0.67024,1.065,0.005743,0.005743,0.005743
45,2191.98,0.54236,0.58799,1.10649,0.87607,0.8274,0.88143,0.77994,0.53046,0.66707,1.06039,0.005644,0.005644,0.005644
46,2239.92,0.54956,0.58731,1.10832,0.885,0.82957,0.88911,0.79493,0.50871,0.64972,1.03389,0.005545,0.005545,0.005545
47,2288.39,0.54462,0.58651,1.10641,0.86588,0.84322,0.88848,0.79142,0.52825,0.65418,1.06616,0.005446,0.005446,0.005446
48,2336.99,0.5363,0.57003,1.0986,0.87491,0.84086,0.8863,0.80381,0.49939,0.64673,1.03456,0.005347,0.005347,0.005347
49,2384.88,0.52896,0.56894,1.0988,0.88156,0.82054,0.89142,0.80142,0.50882,0.64083,1.04184,0.005248,0.005248,0.005248
50,2433.2,0.5317,0.57091,1.09706,0.87638,0.82616,0.88538,0.79635,0.50005,0.65738,1.03278,0.005149,0.005149,0.005149
51,2482.2,0.52783,0.56042,1.09408,0.88462,0.8212,0.88182,0.79902,0.51334,0.64099,1.05151,0.00505,0.00505,0.00505
52,2531.34,0.52342,0.55692,1.0892,0.85911,0.8539,0.89513,0.80432,0.51467,0.63322,1.04481,0.004951,0.004951,0.004951
53,2578.85,0.51741,0.54989,1.08525,0.8669,0.85566,0.89004,0.80395,0.49546,0.63182,1.02796,0.004852,0.004852,0.004852
54,2627.21,0.51183,0.54619,1.08432,0.8946,0.8114,0.8896,0.80281,0.49839,0.64723,1.04025,0.004753,0.004753,0.004753
55,2676.4,0.51209,0.54118,1.08297,0.88041,0.83623,0.89317,0.80285,0.50602,0.64944,1.04468,0.004654,0.004654,0.004654
56,2724.54,0.51355,0.53495,1.08263,0.88688,0.82498,0.88828,0.79941,0.50986,0.64514,1.04966,0.004555,0.004555,0.004555
57,2772.84,0.51048,0.53714,1.08356,0.8658,0.85065,0.89352,0.80383,0.50113,0.64876,1.04057,0.004456,0.004456,0.004456
58,2821.39,0.51081,0.53416,1.08248,0.86284,0.85978,0.89201,0.80268,0.50259,0.64245,1.04406,0.004357,0.004357,0.004357
59,2870.09,0.50213,0.52521,1.07832,0.86632,0.83608,0.88826,0.80313,0.50621,0.63749,1.05515,0.004258,0.004258,0.004258
60,2918.58,0.49823,0.52013,1.07471,0.88428,0.83381,0.88433,0.80028,0.50513,0.64431,1.04583,0.004159,0.004159,0.004159
61,2966.8,0.50189,0.5198,1.07731,0.88938,0.83991,0.88291,0.79776,0.49917,0.63569,1.04169,0.00406,0.00406,0.00406
62,3015.52,0.48525,0.50696,1.06995,0.86507,0.85531,0.88469,0.80282,0.4876,0.64798,1.02805,0.003961,0.003961,0.003961
63,3064.3,0.48405,0.50341,1.06973,0.86416,0.84772,0.88136,0.80339,0.48251,0.66448,1.02336,0.003862,0.003862,0.003862
64,3112.11,0.48093,0.50207,1.06298,0.86618,0.8431,0.88119,0.80259,0.49059,0.67201,1.0332,0.003763,0.003763,0.003763
65,3160.94,0.48211,0.49508,1.06226,0.8714,0.85013,0.88271,0.80516,0.49227,0.64075,1.04135,0.003664,0.003664,0.003664
66,3210.39,0.48029,0.49712,1.0638,0.8663,0.85743,0.88688,0.80534,0.4931,0.63827,1.03933,0.003565,0.003565,0.003565
67,3259.33,0.47668,0.4899,1.0612,0.85247,0.86409,0.88532,0.80482,0.48886,0.65467,1.03473,0.003466,0.003466,0.003466
68,3307.56,0.47276,0.4842,1.05964,0.87892,0.84182,0.88463,0.80397,0.48344,0.64171,1.02684,0.003367,0.003367,0.003367
69,3355.52,0.4696,0.48026,1.05649,0.8793,0.84582,0.88486,0.80369,0.47393,0.63839,1.01897,0.003268,0.003268,0.003268
70,3402.91,0.464,0.47368,1.05291,0.87853,0.84857,0.88661,0.80776,0.47089,0.63063,1.01004,0.003169,0.003169,0.003169
71,3450.8,0.46522,0.47923,1.05419,0.87437,0.84779,0.88357,0.81044,0.4753,0.63243,1.01554,0.00307,0.00307,0.00307
72,3499.13,0.46038,0.46561,1.05109,0.87165,0.85391,0.88284,0.81089,0.47712,0.63594,1.02083,0.002971,0.002971,0.002971
73,3547.8,0.4602,0.47162,1.05351,0.87331,0.84725,0.88128,0.80854,0.48109,0.64047,1.02652,0.002872,0.002872,0.002872
74,3595.66,0.45264,0.46171,1.04745,0.87414,0.85263,0.88704,0.81004,0.47606,0.64095,1.02156,0.002773,0.002773,0.002773
75,3642.1,0.44271,0.45144,1.04276,0.87821,0.85328,0.88812,0.81042,0.4787,0.64096,1.02582,0.002674,0.002674,0.002674
76,3689.2,0.45469,0.46279,1.04789,0.86346,0.8616,0.88869,0.81117,0.47583,0.64159,1.02325,0.002575,0.002575,0.002575
77,3737.37,0.44163,0.45154,1.04471,0.85472,0.85986,0.88616,0.81379,0.47442,0.6387,1.02259,0.002476,0.002476,0.002476
78,3785.6,0.44882,0.44639,1.04104,0.84402,0.87246,0.88687,0.81285,0.47565,0.64123,1.02321,0.002377,0.002377,0.002377
79,3833.74,0.43589,0.4431,1.03957,0.87712,0.83985,0.88469,0.81291,0.47906,0.64471,1.02418,0.002278,0.002278,0.002278
80,3881.67,0.44373,0.44034,1.04182,0.87741,0.83568,0.88389,0.81289,0.48272,0.64629,1.02774,0.002179,0.002179,0.002179
81,3929.42,0.43051,0.43568,1.03363,0.87716,0.83592,0.88285,0.81277,0.48143,0.6516,1.02655,0.00208,0.00208,0.00208
82,3977.19,0.43251,0.42751,1.0334,0.8767,0.83139,0.88394,0.81338,0.48139,0.6478,1.02749,0.001981,0.001981,0.001981
83,4026.23,0.42605,0.43088,1.03276,0.88098,0.832,0.88717,0.81608,0.4816,0.64652,1.02795,0.001882,0.001882,0.001882
84,4074.17,0.42834,0.43097,1.03234,0.86967,0.841,0.88559,0.81563,0.47774,0.64289,1.02428,0.001783,0.001783,0.001783
85,4121.64,0.42182,0.422,1.03166,0.85315,0.86241,0.88647,0.81651,0.48109,0.6392,1.0294,0.001684,0.001684,0.001684
86,4170.27,0.42006,0.41733,1.03191,0.85913,0.86195,0.88618,0.81764,0.47979,0.64088,1.02813,0.001585,0.001585,0.001585
87,4219.56,0.42033,0.4165,1.02746,0.85944,0.86391,0.88813,0.81684,0.48051,0.64044,1.03048,0.001486,0.001486,0.001486
88,4268.8,0.41163,0.41339,1.02429,0.85814,0.86476,0.88805,0.81767,0.47879,0.64255,1.02941,0.001387,0.001387,0.001387
89,4317.33,0.40967,0.40653,1.02255,0.85675,0.86422,0.88777,0.81747,0.47841,0.64744,1.02902,0.001288,0.001288,0.001288
90,4364.5,0.40784,0.40365,1.0234,0.85542,0.86374,0.88735,0.81677,0.48014,0.65073,1.03298,0.001189,0.001189,0.001189
91,4414.19,0.36026,0.24026,1.01236,0.85411,0.86907,0.88642,0.8159,0.47816,0.6575,1.02837,0.00109,0.00109,0.00109
92,4463.14,0.34932,0.22304,1.00486,0.85258,0.86467,0.88678,0.81681,0.47682,0.65888,1.02758,0.000991,0.000991,0.000991
93,4511.27,0.34016,0.21907,0.99699,0.85336,0.86395,0.88659,0.81625,0.47513,0.65716,1.02686,0.000892,0.000892,0.000892
94,4561.2,0.3346,0.21322,0.99121,0.85238,0.86534,0.88686,0.81547,0.47483,0.65791,1.02775,0.000793,0.000793,0.000793
95,4610.59,0.3323,0.214,0.99347,0.85699,0.85962,0.88641,0.81576,0.47381,0.65508,1.0283,0.000694,0.000694,0.000694
96,4659.66,0.32408,0.20835,0.98449,0.85216,0.86315,0.88685,0.81585,0.47277,0.66234,1.02823,0.000595,0.000595,0.000595
97,4708.12,0.31814,0.20278,0.97894,0.85088,0.86568,0.88719,0.81602,0.47057,0.66235,1.02685,0.000496,0.000496,0.000496
98,4756.94,0.31612,0.19788,0.97755,0.85099,0.86463,0.88711,0.81608,0.46682,0.66675,1.02266,0.000397,0.000397,0.000397
99,4805.91,0.30949,0.19454,0.97134,0.85214,0.86646,0.88764,0.81571,0.4655,0.67045,1.02281,0.000298,0.000298,0.000298
100,4854.55,0.3073,0.19395,0.97221,0.85316,0.86621,0.88819,0.81564,0.46426,0.67095,1.02288,0.000199,0.000199,0.000199
